"C","sigma","ROC","Sens","Spec"
1,1e-04,0.917714932530389,0.751311475409836,0.875183673469388
5,1e-04,0.918918991859038,0.821147540983607,0.847183673469388
10,1e-04,0.919579368796699,0.874098360655738,0.814775510204082
20,1e-04,0.919898539087766,0.874043715846995,0.810775510204082
50,1e-04,0.92242556038809,0.877322404371585,0.818857142857143
100,1e-04,0.924523095795695,0.887213114754098,0.81069387755102
150,1e-04,0.925056674473068,0.893934426229508,0.806612244897959
200,1e-04,0.92572824802052,0.890601092896175,0.806612244897959
250,1e-04,0.925328805620609,0.893879781420765,0.806612244897959
500,1e-04,0.924758670681387,0.890601092896175,0.80669387755102
750,1e-04,0.923171406267425,0.893879781420765,0.794612244897959
1000,1e-04,0.922220140515222,0.897158469945355,0.790530612244898
1,0.001,0.919711341585815,0.874098360655738,0.814775510204082
5,0.001,0.921814943682391,0.873989071038251,0.818857142857143
10,0.001,0.924986216125794,0.893879781420765,0.814857142857143
20,0.001,0.92638043938887,0.897213114754098,0.806612244897959
50,0.001,0.925202698784432,0.900546448087432,0.798612244897959
100,0.001,0.924478309356529,0.910437158469945,0.798612244897959
150,0.001,0.925332151221144,0.920437158469945,0.798530612244898
200,0.001,0.926753897624624,0.913770491803279,0.80269387755102
250,0.001,0.926630400356864,0.920437158469945,0.794530612244898
500,0.001,0.92269637559942,0.907213114754098,0.81069387755102
750,0.001,0.919825158916025,0.900437158469945,0.81069387755102
1000,0.001,0.917762105497937,0.893770491803279,0.80269387755102
1,0.002,0.920561927065908,0.874043715846995,0.810775510204082
5,0.002,0.925718991859039,0.893879781420765,0.814857142857143
10,0.002,0.926236199397792,0.897322404371585,0.806612244897959
20,0.002,0.926948232407717,0.897213114754098,0.802612244897959
50,0.002,0.926563176090108,0.917103825136612,0.806612244897959
100,0.002,0.92530775064124,0.907158469945355,0.80269387755102
150,0.002,0.922307014609122,0.910491803278689,0.81069387755102
200,0.002,0.920021344931415,0.900437158469945,0.80669387755102
250,0.002,0.918029039812646,0.897103825136612,0.802612244897959
500,0.002,0.915535853685736,0.900491803278689,0.798612244897959
750,0.002,0.913799263967882,0.900491803278689,0.79469387755102
1000,0.002,0.911459217129474,0.900546448087432,0.81469387755102
1,0.003,0.921151578008253,0.877322404371585,0.818775510204082
5,0.003,0.925978275900524,0.900546448087432,0.81069387755102
10,0.003,0.926944440727111,0.897267759562842,0.81069387755102
20,0.003,0.92711337125014,0.920437158469945,0.798612244897959
50,0.003,0.924842176870748,0.910491803278689,0.81069387755102
100,0.003,0.919834169733467,0.897103825136612,0.802612244897959
150,0.003,0.917128716404594,0.903770491803279,0.794448979591837
200,0.003,0.91593719192595,0.897158469945355,0.806693877551021
250,0.003,0.91553774952604,0.897158469945355,0.806775510204082
500,0.003,0.910260354633656,0.893879781420765,0.82269387755102
750,0.003,0.907190543102487,0.893879781420765,0.818775510204082
1000,0.003,0.903585747741719,0.883934426229508,0.806612244897959
1,0.004,0.921410862049738,0.877322404371585,0.818775510204082
5,0.004,0.926610572097692,0.903879781420765,0.818857142857143
10,0.004,0.926927266644363,0.910437158469945,0.806612244897959
20,0.004,0.928185212445634,0.913825136612022,0.80669387755102
50,0.004,0.921974796475967,0.893825136612022,0.81069387755102
100,0.004,0.916603300992528,0.897213114754098,0.802612244897959
150,0.004,0.915735831381733,0.900382513661202,0.806775510204082
200,0.004,0.914076012044162,0.897158469945355,0.80269387755102
250,0.004,0.912332931861269,0.897213114754098,0.79869387755102
500,0.004,0.905856161480986,0.880601092896175,0.822775510204082
750,0.004,0.898737526486004,0.887213114754098,0.790530612244898
1000,0.004,0.890720753875321,0.877377049180328,0.786612244897959
